company_role,salary_raw,salary_cad_hourly,currency_original,pay_period,company,role,salary_annual_usd
1password,"25/h (1st coop), 29/hr (2nd coop), 32/hr-1300/week (3rd coop), 42/hr (5th coop?)",159.88888888888889,CAD,hourly,1password,,246347.32510288063
Abbott ADD,22.05/hr (2nd coop),12.025,CAD,hourly,Abbott ADD,,18527.407407407405
Abnormal Security,106k USD annual prorated (~$51/hr USD) + 5k relocation,72.9,USD,hourly,Abnormal Security,,112319.99999999999
Accedo,25-27/hr (3rd coop),18.333333333333332,CAD,hourly,Accedo,,28246.913580246906
⁠Achievers inc,20-25/hr,22.5,CAD,hourly,⁠Achievers inc,,34666.666666666664
Addepar,"40/hr, 48/hr (5th coop)",31.0,CAD,hourly,Addepar,,47762.962962962956
⁠ADP,less than 44/hr,44.0,CAD,hourly,⁠ADP,,67792.59259259258
AGF,18.50/hr,18.5,CAD,hourly,AGF,,28503.7037037037
AI Arena,45/hr,45.0,CAD,hourly,AI Arena,,69333.33333333333
Akuna Capital,65 USD/hour + return flight + corporate housing,87.75,USD,hourly,Akuna Capital,,135200.0
Altice USA,mid 30s/hr (6th coop),18.0,CAD,hourly,Altice USA,,27733.333333333332
Amazon,9138 USD/month + 2425/month tax-free relocation stipend,48.78140625,USD,monthly,Amazon,,75159.5
AMD,"27/hr, ~21.88/hr (4th coop), ~29.33/hr (6th coop)",17.642,CAD,hourly,AMD,,27181.748148148148
American Express,34.5/hr,34.5,CAD,hourly,American Express,,53155.555555555555
Apple (Hardware Role),(39/hr USD + housing or 1k/mo (2A coop)),18.900000000000002,USD,hourly,Apple (Hardware Role),,29120.000000000004
Apple (System Level Test Engineer),42/hr USD + 1k/mo stipend,29.025000000000002,USD,hourly,Apple (System Level Test Engineer),,44720.0
Arctic Wolf,"20% above coop average, 23/hr (1st coop), 34/hr (4th coop)",16.4,CAD,hourly,Arctic Wolf,,25268.148148148146
Aterlo Networks,30/hr (4th coop),17.0,CAD,hourly,Aterlo Networks,,26192.59259259259
Atolio,"34/hr (3rd coop), 38/hr (4th coop), 38/hr (5th coop), 42/hr (6th coop)",21.25,CAD,hourly,Atolio,,32740.740740740737
⁠Autodesk,24-30/hr,27.0,CAD,hourly,⁠Autodesk,,41600.0
Autonomic,"38-40/hr (4th coop), 41/hr (5th coop)",25.6,CAD,hourly,Autonomic,,39442.96296296296
Axonify,"850/week (2nd coop), 1200/week (6th coop)",12.8625,CAD,weekly,Axonify,,19817.777777777777
Bank of America,22/hr (2nd coop),12.0,CAD,hourly,Bank of America,,18488.888888888887
Bank of America (Merrill Lynch),20/hr (1st coop),10.5,CAD,hourly,Bank of America (Merrill Lynch),,16177.777777777777
BDO,"34.36/hr, 25/h (2nd coop), 32/h (3rd coop)",19.272,CAD,hourly,BDO,,29693.15555555555
Bentley Systems,"30/hr (1st coop), 33/hr (2nd coop)",16.5,CAD,hourly,Bentley Systems,,25422.22222222222
Bitbuy,20/hr (1st coop),10.5,CAD,hourly,Bitbuy,,16177.777777777777
Blackberry,"(about average), ~21/hr",21.0,CAD,hourly,Blackberry,,32355.555555555555
