Below is a list of companies previous co-ops have provided salary information for. DM u/ffrosteh if you would like to add/change something.,
Company / Role,Salary Information (CAD unless otherwise specified)
1password,"25/h (1st coop), 29/hr (2nd coop), 32/hr-1300/week (3rd coop), 42/hr (5th coop?)"
Abbott ADD,22.05/hr (2nd coop)
Abnormal Security,106k USD annual prorated (~$51/hr USD) + 5k relocation
Accedo,25-27/hr (3rd coop)
⁠Achievers inc,20-25/hr
Addepar,"40/hr, 48/hr (5th coop)"
⁠ADP,less than 44/hr
AGF,18.50/hr
AI Arena,45/hr
Akuna Capital,65 USD/hour + return flight + corporate housing
Altice USA,mid 30s/hr (6th coop)
Amazon,9138 USD/month + 2425/month tax-free relocation stipend
AMD,"27/hr, ~21.88/hr (4th coop), ~29.33/hr (6th coop)"
American Express,34.5/hr
ANSYS,math coop average + 10%
⁠Apple,"(34/hr + 1300-1500 stipend/month), (37/hr + 1350 stipend for 3A term), (44/h + housing or 1k stipend. 4A Product Design)"
Apple (Hardware Role),(39/hr USD + housing or 1k/mo (2A coop))
Apple (System Level Test Engineer),42/hr USD + 1k/mo stipend
Arctic Wolf,"20% above coop average, 23/hr (1st coop), 34/hr (4th coop)"
Aterlo Networks,30/hr (4th coop)
Athelas,33/hr USD + 1200/mo USD housing stipend (2nd coop) + flights
Athos,5000 USD/mo
Atolio,"34/hr (3rd coop), 38/hr (4th coop), 38/hr (5th coop), 42/hr (6th coop)"
⁠Autodesk,24-30/hr
Autonomic,"38-40/hr (4th coop), 41/hr (5th coop)"
Axonify,"850/week (2nd coop), 1200/week (6th coop)"
Bank of America,22/hr (2nd coop)
Bank of America (Merrill Lynch),20/hr (1st coop)
BDO,"34.36/hr, 25/h (2nd coop), 32/h (3rd coop)"
Bentley Systems,"30/hr (1st coop), 33/hr (2nd coop)"
BETS Program,3000 stipend
BetterUp,8500/mo
Bitbuy,20/hr (1st coop)
⁠Bitgo (Lumina),"10,000/mo"
Blackberry,"(about average), ~21/hr"
bld.ai,7000/mo
Bloomberg,48/hr + 5100 stipend (5th coop)
Bloq,"5.4k/mo + 950/mo benefits (2nd coop), 6.2k/mo + 950/mo benefits (3rd coop)"
Bluescape,34/hr (6th coop)
BMO Business Analyst (2A),24/hr
BMO Product Analyst,28/hr (2nd coop)
BMO Software Developer,29.50/hr (1st coop)
Bolt,56 USD/hr
Bonfire Interactive,24/hr (2nd coop)
Boosted.AI,35/hr
Borrowell,(mobile dev) 35/hr (5h coop)
Brookfield Annuity,35/hr
Brookfield Renewables,26/hr
CAAT Pension Plan,18/hr (2nd coop)
Canadian Food Inspection Agency (Full Stack Dev),24.77/hr (5th coop)
⁠Canix,6400 USD/mo (+1000/mo relocation in-person)
⁠Capco,25-30/hr
Capital1,"38/hr (5th coop), 39/hr including signing bonus (6th coop)"
Carta,1150-1700/week depending on experience
Carta (SWE position),"30.75/hr (4th coop), 1230-1400/week"
Carfax (Dev),26/hr (2nd coop)
Castleton Commodities,38/hr
CEGN,Low-Mid 20s
C.E. McMahon Professional Corporation,19/hr
Cepton,35/hr + 500/mo housing
Cerebras Systems,38/hr
Ceridian,"27-38/hr, 4800/mo (3rd coop), 31/hr (3rd coop)"
Certik,7000 USD/month remote (4th coop)
CGI,18/hr (3rd coop)
Chisel.ai,40/hr (5th coop)
Christie Digital Systems,"18/hr (1st coop), +2/hr every add. coop term"
CIBC,coop average + $1
Cisco (Ottawa Office),31-33/hr (1st coop)
Cisco Meraki,(up to) 67/hr + 10k signing bonus
Citadel,3365 USD/week
Cockroach Labs,8000/month + 1.5k signing bonus
CodeWithChris,20/hr (1st coop)
Cohere,20-50/hr based on experience
Coherent Logix,$1-3 above coop average
Cohesity,49/hr
Coinbase,50/hr
Coinsquare,"28/hr (1st coop), 44/hr (5th coop, any dev role)"
Compound,"$10,200/month"
Connected,37/hr (6th coop)
The Co-operators,~21/hr (1st coop)
Core Avionics,"20/hr (1st coop), 30/hr"
Coursera,7000/month
Cover Technologies Inc,30 USD/hr
Creospark,18/hr
Curinos,34/hr (2b)
Curvegrid (Japan),"¥300,000/mo (2nd coop)"
D2L,28/hr
Databrick,55 CAD/hr + 1.3k/mo housing
Datadog,40/hr (48 USD/hr + 2000 USD/mo housing
data.world,1400 USD/week + 100 USD remote stipend
Deep Breathe,co-op average + 20%
Deep Genomics,60k/yr
Dejero,1.15*coop average
Deloitte,25-28/hr
Delphia Asset Management,5-10% above the coop average
Digitaled,Coop average
Digital Extremes (Marketing),20/hr (2nd coop)
DocuSign,52/hr ⁠
Draper,1400/wk
Dreamschools,19-24/hr
Dropbase (Castodia),"(25-50/hr, +5 per work term), 29/hr for 3rd coop, 30-32/hr for 4/5th coop"
DRW,35-37/hr
Ecobee,up to 38/hr (no stipend)
Ecompliance,"26/hr (4th coop), couple dollars above coop average"
Elekta,27/hr (2A)
Embark Trucks,10k/month (USD in person / CAD for remote)
The Empire Life Insurance Company,22-28/hr based on work term
Enlighted Inc,36/hr (5th coop)
Eon Media,3800/mo (3rd year)
Equifax D&A,22/hr (1st coop)
Equitable Life Insurance Company,"20/hr, 23/hr (2nd coop)"
ESCRYPT,"26/hr (3rd coop), 30/hr (4th coop)"
eSentire,24.50/hr
EY,28/hr (3rd coop)
Facebook,6200/month + 1200 WFH stipend
Faire (Developer role),32-50/hr + options (depending on experience)
Fleet Complete,"26/hr (3rd coop), 32/hr (5th coop)"
Fleet Labs,25-27/hr
⁠Flex AI,$5000/mo
The Flight Deck,23/hr
Flipp,$1082/wk
Float,50/hr
Ford,"23.13-29.27/hr (+~4% every add. coop term) (25.77-3rd, 26.80-4th, 28-5th)"
Forethought AI,6000-8000/month
Freshbooks,"33/hr (5th coop), 70k/year"
Genesys Laboratories,10% above the coop average
Geotab,30/hr (3rd coop)
Get ResQ,36/hr (5th coop)
Glu,"30/hr (4th coop), 25/hr (2nd coop)"
Google,"Canada: $1538/week, plus 4k housing stipend, US: $1700 - $2100 USD/week based on location, plus 6k USD housing stipend"
groq (Groq Inc),"37/hr (1st coop), 35-42/hr - 42 is 6th coop"
Gsoft,40/hr (4th coop)
H2Analytics,23/hr
Halp,38/hr (3rd coop)
Hatch Credit,8000-9000 USD/month
HeadSpin,32/hr (3rd coop)
High Q Technologies,25/hr (3rd coop)
Hockeystick,"around coop average, 21/hr (1st coop)"
Home Depot (Dev),20/hr (2nd coop)
HomeX,"30/hr, 33/hr (3rd coop)"
HOOPP (Health Care of Ontario Pension Plan),22.25/hr (2nd coop)
Huawei,"27-35/hr, 34/hr (4/5th coop), 42/hr (masters)"
Hubdoc,5% above the coop average
HubSpot,50-54/hr USD
IBM,"26.50/hr (28-31/hr for 4th coop), 36/hr"
⁠Imagine Communications Corp (ICC Waterloo),"21,24,26,29,31,33/hr for 1st to 6th coop"
Index Exchange,30/hr or above
⁠Inflight,"25/hr, 26.5/hr (4th coop)"
⁠Information Builders,50/hr
Intact Labs,"30.5/hr (3rd coop), Data Science 32/hr (2nd coop), 39/hr (5/6th coop)"
Intel,"33/hr, 35/hr (6th coop)"
⁠Insticator,20-25/hr
